topology,adoption_fraction,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
cycle,0.0,0.05,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.1,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.15,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.2,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.25,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.3,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.35,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.4,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.45,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.5,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.55,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.6,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.65,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.7,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.75,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.8,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.85,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.9,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,0.95,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.0,1.0,0.865,0.010806248192596726,176.589,0.003,0.132,1000
cycle,0.25,0.0,0.008,0.0028170906978654416,649.577,0.805,0.187,1000
cycle,0.25,0.05,0.012,0.003443254274665175,645.807,0.8,0.188,1000
cycle,0.25,0.1,0.021,0.004534203347888138,640.327,0.792,0.187,1000
cycle,0.25,0.15,0.039,0.006122009474020765,626.231,0.773,0.188,1000
cycle,0.25,0.2,0.082,0.008676174272108648,594.903,0.724,0.194,1000
cycle,0.25,0.25,0.147,0.011197812286335219,563.388,0.666,0.187,1000
cycle,0.25,0.3,0.271,0.014055568291606,506.929,0.548,0.181,1000
cycle,0.25,0.35,0.469,0.01578096955196353,407.544,0.356,0.175,1000
cycle,0.25,0.4,0.659,0.014990630407024249,312.487,0.175,0.166,1000
cycle,0.25,0.45,0.825,0.012015614840697917,216.306,0.027,0.148,1000
cycle,0.25,0.5,0.859,0.011005407761641547,174.415,0.005,0.136,1000
cycle,0.25,0.55,0.889,0.00993373041711924,158.472,0.004,0.107,1000
cycle,0.25,0.6,0.923,0.008430361795320529,159.397,0.002,0.075,1000
